,1st,1-prox,2st,2-prox,3st,3-prox,4st,4-prox
32,462,0.07176466857123645,68,0.08044300933136715,396,0.14469838823494663,492,0.14501727083586083
33,132,0.07344941753756835,382,0.0870281373588726,145,0.08950124115037747,54,0.10290359104390447
34,299,0.073366740204276,234,0.07448370968231799,285,0.07488910570676315,478,0.14301247422358404
35,123,0.0844666042660658,192,0.14665717692229951,292,0.15167827888494642,299,0.15489925209043356
36,268,0.07331748328793589,345,0.07658020566625952,450,0.09033057437635586,77,0.14393581685853385
37,102,0.1442830085826335,48,0.14458246666147218,152,0.14642888006348218,336,0.14715759865544809
38,325,0.07179681879190117,178,0.07258581020317231,141,0.07318636245313745,322,0.07360540182881505
39,393,0.002320493273255872,242,0.014911975326242274,390,0.0733648386623996,20,0.0765091251227695
40,69,0.08367203790482491,144,0.16051604998933763,266,0.1606589769676521,327,0.16902035998449774
41,45,0.1459562573519059,508,0.14989126661663255,222,0.2150536779993942,230,0.21509328740771536
42,435,0.004056814268531655,342,0.004330651052690209,178,0.07228734811953866,322,0.07278096529084332
43,266,0.0014445672217026344,239,0.07312289179657648,144,0.07475057524787146,480,0.07586187407521004
44,412,0.14994928694090862,297,0.1559853437520904,184,0.16059823052034075,177,0.16080716698825584
45,222,0.07221210376344454,7,0.0725426570755261,230,0.07420456328951615,360,0.07679537965658058
46,70,0.004907730528433109,47,0.005250371512439812,511,0.008852993654843417,447,0.010219622250103862
47,70,0.00019702671461089598,241,0.003707773991176847,209,0.003958684013043703,447,0.004854930560366475
48,37,0.14458246666147218,397,0.14598810382036762,239,0.14949798744048176,266,0.15189279543274853
49,279,0.22038331216550647,472,0.229755716854171,143,0.28713599443569465,334,0.2892926735511051
50,135,0.011159385537814898,187,0.0332422581614767,475,0.07288187158194329,241,0.07336973464900401
51,491,0.08813184583193372,24,0.09008996486603758,389,0.14670183789202257,340,0.148498058482623
52,14,0.07417872827021998,180,0.0768627353606947,287,0.07702909111066504,498,0.07745439316693555
53,47,0.21462853256028522,70,0.21468517399708384,281,0.21557327825114572,179,0.21557451165567773
54,145,0.016914474174535867,182,0.07173261519911,116,0.0751511672699209,214,0.09378541827968698
55,223,0.14295971117252357,131,0.1433696014341261,256,0.14584940614419437,374,0.146118570020153
56,14,0.14460690429831097,407,0.146374941478794,52,0.21617004916153668,161,0.21965349296289763
57,467,0.14779446081436068,205,0.1540673787495886,310,0.21608019924941121,110,0.21894964838016978
58,5,0.015916234542764137,89,0.08747044056768925,389,0.08772612346862152,90,0.08844304754381128
59,63,0.0028614713176113083,171,0.07451481691847646,490,0.07601689503622654,137,0.07775254864117011
60,375,0.002402760941339669,345,0.07480034381502325,159,0.0783707452630569,315,0.08142145208990413
61,265,0.1474565430314024,272,0.16629059205062127,108,0.17486558060017918,8,0.2277869679523117
62,419,0.07457099738486629,388,0.1438107561546667,27,0.14396859969816347,378,0.14463329289034407
63,59,0.0028614713176113083,320,0.0727257017025199,171,0.07319388419196456,429,0.07368655282600431
64,241,0.07165225282675454,209,0.07442397914488055,47,0.07541527420411194,70,0.07590492340895978
65,150,0.22271010284806986,428,0.22303908662008148,426,0.22437582012171872,250,0.28911170326284813
66,193,0.07603107920337566,233,0.07886371749799834,162,0.07898532975361404,377,0.08143928909086376
67,297,0.07687494867455584,498,0.14405616057962137,315,0.1440664785730255,316,0.14425415267076994
68,32,0.08044300933136715,462,0.1513080325185056,314,0.1540597474016891,320,0.15705468254120575
69,266,0.07506749408241074,43,0.08045337789429093,40,0.08367203790482491,444,0.14310250438477068
70,47,0.00019702671461089598,209,0.003145837217261509,241,0.0037798081128877234,511,0.004015232855147556
71,305,0.07225023299420497,360,0.07292667866247764,487,0.07529744204970283,369,0.07544051948146377
72,435,0.14340477111011338,342,0.14429358001064618,115,0.14535178860881,34,0.1472830992257458
73,275,0.005585000117315276,390,0.07485110292766882,92,0.07876819066931808,20,0.08158770509619562
74,207,0.08111680292412311,164,0.14496301084697824,139,0.14665165925077894,223,0.1501635048826196
75,340,0.0721127112837946,437,0.07370758209753547,485,0.07842243556721777,319,0.08249015082275546
76,237,0.28598272772691846,394,0.28901228692288367,73,0.3591308364056682,176,0.35917818261191314
77,78,0.007936196463430866,345,0.07331944026982437,171,0.07515645532667067,115,0.07930479997883144
78,77,0.007936196463430866,171,0.0764612297934815,345,0.08272142650502796,115,0.08486366022414985
79,357,0.21495739701709043,373,0.21511274906345154,283,0.2154856622639805,226,0.2158037868271286
80,67,0.21569043121626863,297,0.21671191284173838,519,0.2190113151302102,306,0.21968917901953408
81,37,0.220476943846561,336,0.22478252893565306,218,0.23139402225882758,208,0.287086743838895
82,383,0.07740492913559979,45,0.14288430452111273,432,0.1433688797257906,353,0.143446649951666
83,292,0.07451405498088039,505,0.07603034393945038,112,0.1433050260813858,330,0.14445028346324462
84,111,0.0763402130522961,496,0.14290149195493942,249,0.14437709611697896,5,0.1449572396432679
85,368,0.21914109409109558,255,0.23312866301073104,458,0.23430790082096187,410,0.3576969489291533
86,449,0.07280243407198135,9,0.0735634343906283,390,0.07622174852358092,20,0.07643044133188492
87,320,0.07217516684075485,494,0.07333764091019161,63,0.07444775710473568,171,0.07617342839455694
88,396,0.07434001266214806,72,0.14904669688239314,492,0.149296424483671,462,0.14999276849632642
89,389,0.0015615149467294938,422,0.003526689898379172,501,0.007818863721843834,340,0.07227462239665552
90,5,0.07448431870941426,292,0.07877589465908982,505,0.08334937307903538,58,0.08844304754381128
91,163,0.07220864219257193,206,0.07318418840348566,390,0.07440018741778805,312,0.07477904020967854
92,390,0.007002339047772957,20,0.024227542440698087,267,0.0332854475776447,275,0.07362380491768439
93,277,0.21677571958561834,515,0.29781015958333673,458,0.31821336931176925,368,0.35791633278300894
94,144,0.1612131375595185,266,0.16377847411812893,43,0.17259633647841638,239,0.17408015831710702
95,112,0.0031212722852753,434,0.07174988406115558,292,0.07307265672504108,424,0.0736083714247011
96,31,0.14850377454318306,303,0.14873606934691885,294,0.15015156267190913,233,0.15047918925173684
97,514,0.0789878420454277,130,0.07955041277015887,1,0.14707182725010828,510,0.14745854669189185
98,134,0.0009044915346482328,141,0.07280028177801616,247,0.07351496235184098,433,0.07410720148316205
99,233,0.10395749645841827,162,0.10661195936385678,310,0.11573394616137742,262,0.12466269638831363
100,502,0.001426551401431992,312,0.07255130148712392,313,0.07255646471668135,270,0.07277777197735165
101,423,0.006241332264170967,348,0.07158411701660068,89,0.07323625194100128,501,0.07436694318128513
102,104,0.07215945874674545,282,0.07258416442694861,412,0.07356118148008808,380,0.08086399540680413
103,393,0.14525335758424632,39,0.1486607101741245,242,0.1579731759969249,382,0.16113009191951905
104,102,0.07215945874674545,412,0.07268508584331378,138,0.08415077181012721,126,0.09583282000225227
105,280,0.0056119105930039275,322,0.07302110925715165,178,0.07454534233203666,138,0.07474338886825733
106,178,0.0056547011424057355,322,0.008298072012019628,499,0.07382398391900959,325,0.07491372416411626
107,46,0.07203851667226845,70,0.07537919560360892,47,0.0763150484909068,511,0.07654515858531216
108,169,0.09941140762135894,326,0.16506972005719192,321,0.16521365957438186,22,0.16651626193569494
109,7,0.1591238014784582,45,0.16007314783379287,365,0.16018052939241031,222,0.16317869983274752
110,473,0.0002590408023954458,518,0.03580903588047836,445,0.03721587936841012,332,0.07218964119300164
111,84,0.0763402130522961,474,0.14383557413684514,120,0.14566306896720957,244,0.1468090337156081
112,95,0.0031212722852753,292,0.07364650654638617,488,0.0753873395524417,505,0.07568781599769671
113,30,0.07192875621432857,27,0.07207434806305528,419,0.07225281348102437,1,0.0732500084856336
114,119,0.14779872762470697,117,0.14803678689890948,91,0.14869384277935868,206,0.14925656714047775
115,380,0.07353504329741137,462,0.07559805629474482,77,0.07930479997883144,256,0.08161733307362531
116,182,0.0033377828111401343,54,0.0751511672699209,145,0.07662236956039783,214,0.08866327958090994
117,25,0.07317777019769711,166,0.07479791680251643,312,0.08962343918790752,313,0.08963183609598087
118,415,0.0725841677108739,157,0.08017804789642939,345,0.08451152883854908,263,0.08576444530679947
119,242,0.07270040934738087,206,0.07322146013988554,91,0.07607492650294011,393,0.08327825434805114
120,357,0.005681744453764966,226,0.009879031506247459,12,0.07151039368626828,373,0.07392549711063993
121,420,0.2993798339218949,440,0.35807722800406944,358,0.36394117591991737,323,0.36478980687434553
122,313,0.07790329698739051,351,0.07839182852658917,312,0.08000619101620292,270,0.08066205953224358
123,35,0.0844666042660658,365,0.15089724353788544,5,0.15299183090009413,90,0.1535956887068116
124,21,0.007843948885402012,242,0.14412967430395723,311,0.145260953976556,14,0.14735218794283206
125,391,0.006667564240252179,180,0.07564571800860997,174,0.07771232123833662,450,0.14326082206033214
126,104,0.09583282000225227,138,0.15612730678076,380,0.16024219854241517,435,0.16071367493248023
127,290,0.14972146346256165,386,0.1497461174737916,498,0.15086793494904233,341,0.15439984762624578
128,266,0.1432627053188908,297,0.1433957973975511,239,0.14470113483594313,69,0.14471734782152
129,410,0.14807460681943158,332,0.15287413000171673,518,0.1531329392246907,473,0.15322731163198533
130,514,0.010643395618009432,294,0.07406056417834077,431,0.07463773772207873,335,0.07552938307091106
131,304,0.08177857939257031,55,0.1433696014341261,223,0.14358308087152247,200,0.15789966201853697
132,33,0.07344941753756835,382,0.08364629284302326,216,0.08586716022320243,15,0.10228400178220813
133,341,0.07215681024598038,456,0.07227133985413525,290,0.07340439802921898,259,0.07365129181594536
134,98,0.0009044915346482328,247,0.07192726241615836,141,0.07237598717235705,433,0.07261975297097191
135,50,0.011159385537814898,187,0.0173362663438821,70,0.07323978238199085,47,0.07355986553077347
136,479,0.14470782734430426,227,0.14735562731720386,460,0.15020295638678507,139,0.1519382510961536
137,59,0.07775254864117011,4,0.07842829725231795,63,0.08663211642301245,248,0.10303413324838315
138,105,0.07474338886825733,98,0.0748953088268443,134,0.07774568931123771,247,0.0815542468250451
139,178,0.08154930975110851,322,0.08170644303079908,106,0.09063202712062446,74,0.14665165925077894
140,27,0.006120106568790696,451,0.012165756102796577,411,0.018349837807461022,395,0.018664954997147914
141,433,0.0003833454740001498,507,0.01663324781336285,424,0.07211810288493077,178,0.0722280302252566
142,0,0.0730572295184289,30,0.08288404991443121,328,0.08396839138414085,211,0.1434142677422716
143,497,0.07328896233402434,226,0.07508036609079323,423,0.07673239054743289,279,0.07728169682346339
144,266,0.07464492733694182,43,0.07475057524787146,440,0.14427328311303747,239,0.1468173557544556
145,54,0.016914474174535867,116,0.07662236956039783,182,0.08684722201380925,214,0.087958253145877
146,240,0.14324267074982622,338,0.1466030057986074,5,0.1512589566784732,58,0.16223577103726333
147,170,0.001045505627147578,179,0.0015342829414812023,347,0.0034524269121187193,260,0.008294004741801152
148,349,0.22285982466645077,284,0.22604296011694508,0,0.22620854457525844,458,0.23210014687314723
149,174,0.3704604242517964,290,0.3754389123867667,400,0.3769454199182362,391,0.3774757507241879
150,426,0.14346834191327604,428,0.14453050126717876,314,0.2161087930647369,482,0.216670963448827
151,211,0.07295193520440128,367,0.07332226606211582,0,0.07428744307484593,335,0.0750629063934152
152,87,0.14396321686114247,353,0.14409043193687013,37,0.14642888006348218,102,0.14666975431200274
153,511,0.07237171064899961,209,0.07448528611685892,457,0.07503988254385266,70,0.07754519760478237
154,415,0.08566404052974252,213,0.14541289811727467,160,0.1456587610449544,453,0.14614104801012404
155,446,0.1468505596133957,239,0.15394690440687558,208,0.1651190846081299,12,0.1786328176821466
156,327,0.07259651701715589,263,0.14311632976862007,317,0.14345013961440586,157,0.1435386078757928
157,345,0.07194410495310287,263,0.07229997880002063,190,0.07361651463970764,118,0.08017804789642939
158,230,0.1449716099014698,360,0.1524534918945218,222,0.21929555585536456,7,0.2196539478677208
159,315,0.0045876558217193665,297,0.07648676439607387,60,0.0783707452630569,375,0.0840064513555676
160,199,0.07401851204655277,283,0.07508893032562185,306,0.07531600363485268,474,0.07533427890682061
161,14,0.21619503882181906,56,0.21965349296289763,333,0.2921792765724281,52,0.293141000753371
162,233,0.013175564607758917,262,0.01878593761899235,377,0.07366118115782262,408,0.07505327567349843
163,91,0.07220864219257193,390,0.07339984578104826,92,0.07764473494507995,20,0.07820251935873676
164,223,0.013738956467466977,74,0.14496301084697824,256,0.15004638260920822,244,0.1555731778726718
165,77,0.08068318267029014,375,0.08160949722545348,160,0.08266955619626119,357,0.08476156146867218
166,117,0.07479791680251643,344,0.08576983189025131,25,0.14489141182894347,478,0.14700821059341154
167,346,0.15407511393745524,463,0.17746545470666236,337,0.21470510252174888,474,0.21471421257994233
168,21,0.2265068070198984,124,0.227513987059859,517,0.22868046203249298,174,0.2962496148225692
169,22,0.08089981456252118,108,0.09941140762135894,378,0.14410890473488455,234,0.1447446955522829
170,179,0.0008630167746322722,147,0.001045505627147578,347,0.0026756997295624696,1,0.004457084382225883
171,490,0.00838235368587745,185,0.009052977864776409,357,0.07174889636387306,63,0.07319388419196456
172,70,0.07207820932827834,47,0.07245520886733163,436,0.07278879230889411,26,0.07280109841457123
173,42,0.146322014041273,274,0.14642092987902935,342,0.14694899122048227,102,0.1470799930640434
174,290,0.07410058077555785,391,0.07602413661196873,341,0.07746041622953938,125,0.07771232123833662
175,363,0.18699345501797807,35,0.23553726518503826,265,0.24227646891984364,434,0.2526514206474074
176,311,0.07238904282044269,124,0.14916259509101634,21,0.15556634226762384,36,0.1592283854174774
177,118,0.09364297576193578,415,0.09802416280075173,59,0.14458375379862437,412,0.14688784521932868
178,322,0.000314690232572678,106,0.0056547011424057355,325,0.07181937485094332,141,0.0722280302252566
179,170,0.0008630167746322722,347,0.0008823252024356753,147,0.0015342829414812023,1,0.0032879800834398018
180,498,0.0729666363046475,391,0.07401932760299322,125,0.07564571800860997,52,0.0768627353606947
181,318,0.28676383515581366,316,0.2873191433646106,386,0.2874650985756247,498,0.2883479196509587
182,116,0.0033377828111401343,54,0.07173261519911,145,0.08684722201380925,214,0.09364106104610724
183,171,0.14369462150308368,357,0.1445752227195658,226,0.14560511323902373,380,0.14817857644135862
184,297,0.08329383823019372,118,0.09293758532422755,455,0.14757879400924606,345,0.15078451934983836
185,490,0.004700802468237709,171,0.009052977864776409,320,0.07390563361098006,63,0.07428203005487757
186,211,0.010918702699363543,10,0.07146618993789441,260,0.0751016110638074,1,0.07552205996987761
187,135,0.0173362663438821,50,0.0332422581614767,511,0.07509529708022712,513,0.07610891053968404
188,202,0.03428408130053664,486,0.03658471151410882,147,0.07235479344438157,395,0.0733697288112496
189,357,0.22510674589365287,208,0.22846904698486578,226,0.2320218156129701,120,0.24072763416381027
190,263,0.002436479487541096,509,0.004001275981639028,345,0.07227084774754608,427,0.07246226920319189
191,344,0.07252630582191315,100,0.07421209337873257,312,0.07443523446890356,270,0.07466751577724347
192,429,0.10160430125112647,38,0.10354791942954363,446,0.14546449875622516,35,0.14665717692229951
193,294,0.07207408797157563,66,0.07603107920337566,233,0.0769276167705307,408,0.07918147189105741
194,73,0.2883648839375241,275,0.28853295603643314,132,0.2972227329098189,215,0.3021835195360267
195,262,0.1445614425596524,145,0.151531457148893,86,0.15358110387203566,233,0.15428400002422446
196,461,0.1430123035951103,371,0.14373689925143157,418,0.1448265178171339,338,0.1450746345297556
197,234,0.14379944631128663,485,0.14433456983031204,501,0.14454544309020181,377,0.14806545868654122
198,519,0.15476834224584884,45,0.1561200796340846,387,0.21937214293596644,453,0.22107686701309648
199,283,0.0008059097307493859,357,0.07253444149376112,160,0.07401851204655277,373,0.07429168925518034
200,22,0.07176955172755707,372,0.07657412129473987,234,0.07734702890190583,474,0.08853507771681436
201,327,0.23702175697326316,144,0.29413713002852476,40,0.2962289802558359,266,0.3030191882267399
202,486,0.016730545235992447,188,0.03428408130053664,151,0.08510342513994654,367,0.08695998624729884
203,151,0.08501869080409365,209,0.08557065005344353,241,0.08627029878175761,449,0.08739174964684748
204,254,0.2434739223384206,456,0.24709986574130327,517,0.24716308635479423,290,0.2488102001075094
205,467,0.07303140474455297,486,0.07748747394266164,202,0.09191208318352916,188,0.10281516307743058
206,91,0.07318418840348566,119,0.07322146013988554,216,0.07501080123032379,163,0.14311455571431314
207,74,0.08111680292412311,499,0.1466279493898069,139,0.14999806894462794,178,0.15172052402984973
208,266,0.07735578584543322,43,0.0784990689294096,4,0.08015619496167391,248,0.08140641188763821
209,241,0.0017876822180111448,70,0.003145837217261509,47,0.003958684013043703,511,0.004003324381614958
210,48,0.21975164251580995,352,0.28740326791890286,239,0.2947169220299442,266,0.29517971924430775
211,186,0.010918702699363543,151,0.07295193520440128,260,0.07381942992598632,0,0.07397973665954528
212,273,0.14308947530061822,355,0.14472203670548572,441,0.1462962484883283,353,0.14682781991674912
213,372,0.07511864879221845,154,0.14541289811727467,506,0.14579699586980613,326,0.14684221448372567
214,145,0.087958253145877,116,0.08866327958090994,73,0.09085535101523712,20,0.09195708696706498
215,225,0.1469691663838182,333,0.21546378770271307,367,0.21817276920519152,27,0.2865113387658073
216,25,0.07386732568222214,206,0.07501080123032379,313,0.07785507653559531,312,0.0787830348455
217,159,0.21645993373447742,160,0.21762013378475684,427,0.21795706727137132,315,0.2182118723772344
218,412,0.08866364856034503,336,0.08956626007277978,266,0.15014985387830235,43,0.15319912382680645
219,393,0.21522611682230522,163,0.21620459334457015,39,0.21715123753290572,242,0.2209937991178321
220,246,0.07974542146524743,187,0.08335641781575663,371,0.08674638129530556,461,0.08967525421774394
221,203,0.09212868325485983,511,0.14287484180631413,513,0.1431300509462384,449,0.1432973213353868
222,45,0.07221210376344454,7,0.07226956246887799,230,0.0723904906230953,491,0.074994650018537
223,164,0.013738956467466977,55,0.14295971117252357,131,0.14358308087152247,34,0.14394114118929294
224,516,0.22731495713967967,304,0.2859837099183616,105,0.28681361097858665,433,0.28755667655474937
225,215,0.1469691663838182,367,0.21563416682869405,333,0.21585282364236733,151,0.2860155881789485
226,357,0.0022114003354566916,120,0.009879031506247459,171,0.07405852112944054,283,0.07415530778360482
227,464,0.07320591759552297,413,0.07359573856648226,325,0.0749040518431737,280,0.1431845597580829
228,446,0.3644153217268867,111,0.3662049703348826,84,0.3673376540480371,496,0.3673547147028068
229,25,0.07261706080655207,91,0.07530494699447456,478,0.07541341904318723,513,0.07853660215506433
230,360,0.006604390871401368,7,0.07219299510601826,222,0.0723904906230953,45,0.07420456328951615
231,379,0.2969721561033905,375,0.2985442131807809,157,0.30189422262632387,315,0.3025594297606302
232,280,0.14592600650192117,105,0.14632232448931065,227,0.21661143948442027,433,0.21788258770283092
233,262,0.008304009511404151,162,0.013175564607758917,193,0.0769276167705307,431,0.07786638225285546
234,414,0.0731316485263487,372,0.07341126337368954,34,0.07448370968231799,285,0.07519841819943955
235,409,0.07309373997055983,18,0.08140247207071237,71,0.08692212735972718,334,0.1440630257471839
236,413,0.14686155395636002,499,0.14855176907358666,416,0.1490318208804528,487,0.15192883622365275
237,73,0.1455322559134638,223,0.1464134741964945,34,0.14823150114500958,322,0.14834409684076166
238,514,0.07155734435284165,347,0.07231115663191391,1,0.07259992570334386,378,0.07282692449532586
239,43,0.07312289179657648,385,0.07323224206738035,266,0.07341512483995687,383,0.143880721153141
240,338,0.07700748588008426,5,0.07888675952614002,58,0.09066266795514444,226,0.14310698455411033
241,209,0.0017876822180111448,47,0.003707773991176847,70,0.0037798081128877234,447,0.008135114480227109
242,393,0.011449604254057371,39,0.014911975326242274,119,0.07270040934738087,390,0.07958385472510092
243,14,0.14403102378028393,21,0.14492018163103096,287,0.14561873315963075,52,0.14720150207120092
244,474,0.004962645092313764,372,0.08121245685603624,160,0.08286513854929393,234,0.08588810104069908
245,154,0.1509913712150049,67,0.15584576013303436,316,0.1564248828123445,68,0.15993726339942554
246,140,0.07272608612565004,461,0.0747632976929805,371,0.07524745833902294,467,0.07644394303930131
247,134,0.07192726241615836,325,0.07276867596536399,98,0.07351496235184098,138,0.0815542468250451
248,4,0.016083813986326464,199,0.07737834376916934,283,0.07824239402545609,357,0.07909070719211056
249,422,0.07209469580341075,89,0.07289936738825097,389,0.07338613271826996,501,0.0819266343945295
250,482,0.2312001553802118,426,0.2328979754979153,155,0.2361480568440839,40,0.24273966930947494
251,360,0.14396726833286574,490,0.1468192345761607,279,0.14878222933088314,212,0.1493495961935049
252,66,0.08581373004978914,187,0.09092365895811726,64,0.10966782262920689,135,0.11081495137896034
253,513,0.1431286949063897,511,0.14329325745060825,221,0.14342967426527134,449,0.1443144097715312
254,498,0.08083935306166323,456,0.14375575862591322,341,0.14569670860998735,133,0.14590350275881486
255,368,0.16369220287003625,252,0.17193116396432404,50,0.21689272321712094,64,0.2182866707954924
256,462,0.0778768327157616,115,0.08161733307362531,160,0.08223730481851164,396,0.14576146697480596
257,376,0.09172069016248852,475,0.14594864382530612,64,0.1462147587771203,26,0.14631023095753523
258,22,0.1452578944022566,169,0.1481207659701707,197,0.1497683665590046,31,0.17319277786843842
259,400,0.023478864385706018,341,0.07266754563289683,133,0.07365129181594536,456,0.07366140904327698
260,510,0.0007876612752812562,347,0.003461668545141627,1,0.004085141401876186,170,0.005329356851097425
261,478,0.14834644777164283,260,0.21769161316619123,510,0.2178861806481141,447,0.21898849953481161
262,233,0.008304009511404151,162,0.01878593761899235,431,0.08217537831262685,408,0.08497837950097742
263,190,0.002436479487541096,509,0.006814452407960781,345,0.07199814952273295,157,0.07229997880002063
264,355,0.14422360079837354,441,0.14537008743025637,212,0.14714020804786915,353,0.14716658007625383
265,61,0.1474565430314024,434,0.16622634493401736,108,0.17001263965743355,399,0.21620775918925086
266,43,0.0014445672217026344,239,0.07341512483995687,480,0.07376048308168602,144,0.07464492733694182
267,20,0.010124529824151282,390,0.01855152383955667,92,0.0332854475776447,15,0.07687691416388796
268,36,0.07331748328793589,375,0.08477110188725274,60,0.09560398927616391,315,0.15371261240200432
269,505,0.14423518456676615,112,0.14814924643145114,12,0.1487920441050943,106,0.14938154737327172
270,313,0.0013097269616717446,312,0.001991936354873104,351,0.011535372118472194,25,0.019893594310267132
271,321,0.15209196330276348,171,0.15302800702709182,460,0.15460431574763514,454,0.1551742471118684
272,292,0.14323130792356423,70,0.1432807419229165,47,0.14397193160164878,455,0.144445630933943
273,212,0.14308947530061822,441,0.14526321996725428,353,0.1453062920442478,355,0.1455399474081017
274,460,0.07407414199007364,42,0.14292560735294998,435,0.14621701958548047,173,0.14642092987902935
275,73,0.005585000117315276,92,0.07362380491768439,390,0.08161247450544494,449,0.09541563603221973
276,301,0.30520573455705907,161,0.36019005628777495,483,0.3645836196930872,391,0.3655837808582761
277,93,0.21677571958561834,515,0.23545158774705968,240,0.23958572123029365,458,0.25775378061434046
278,7,0.1430888836134614,353,0.14323341328995037,45,0.14343317468943453,82,0.1437068056889061
279,143,0.07728169682346339,102,0.08621596414880664,343,0.14336348884659747,334,0.1438100263515623
280,105,0.0056119105930039275,433,0.07183798677752948,141,0.07234446721956878,178,0.07470451725061876
281,344,0.14372619696056047,270,0.21471072614290804,407,0.21471136763981882,53,0.21557327825114572
282,102,0.07258416442694861,104,0.14446143065792452,412,0.14820422424057855,380,0.14828581859504128
283,199,0.0008059097307493859,357,0.07150471988241038,373,0.07375507321096433,226,0.07415530778360482
284,349,0.07187181862473778,371,0.0725503000494739,461,0.07476663340115833,211,0.07694947051216541
285,292,0.07262270043558962,326,0.0733114475079364,34,0.07488910570676315,234,0.07519841819943955
286,511,0.008623906620450277,209,0.011564802952176618,70,0.013367732085879555,47,0.015469175372286101
287,52,0.07702909111066504,14,0.14494398487165536,243,0.14561873315963075,180,0.14696880195791118
288,446,0.07686273151907806,387,0.14412938198822725,293,0.14651100855291005,348,0.14763905736835162
289,66,0.14561104339601533,193,0.14790824975139216,294,0.15115717202063397,233,0.1522053637155724
290,341,0.001029650348041905,456,0.07332639613174166,133,0.07340439802921898,174,0.07410058077555785
291,337,0.14579030161454565,371,0.14651297794445176,403,0.14761490593510973,246,0.14798554645427706
292,505,0.011969245755256165,488,0.07259483901312291,285,0.07262270043558962,95,0.07307265672504108
293,16,0.0007719615244293551,340,0.07174884853126326,508,0.07905784284730077,75,0.14302300076450664
294,193,0.07207408797157563,130,0.07406056417834077,211,0.0826427409869135,514,0.08898618265101452
295,8,0.14293996840366235,262,0.14297866611627813,335,0.14360355714432574,211,0.14838268025230383
296,313,0.07462480851868498,312,0.07589817193172411,270,0.07690007237220353,351,0.07844093234297682
297,315,0.07321414363940068,159,0.07648676439607387,67,0.07687494867455584,184,0.08329383823019372
298,418,0.14336435377126217,383,0.14466133169093087,439,0.14499787681531012,474,0.14828118901404888
299,34,0.073366740204276,292,0.07510711206253931,5,0.08068035326488589,424,0.08187199466917867
300,322,0.29352422220232277,178,0.29462131769345606,394,0.2951331135197554,459,0.29702957142522024
301,125,0.22445092759634674,391,0.2247769688173386,420,0.2872738709719767,483,0.28910473705366246
